gqm_ref,framework,standard_id,standard_title,evidence_kind,goal_statement,status
GQM-ISO-001,ISO27001:2022,A.5.1,Policies for Information Security,PolicyProcedureEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.1 - Policies for Information Security within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-010,ISO27001:2022,A.5.10,Acceptable Use of Information and Other Associated Assets,PolicyProcedureEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.10 - Acceptable Use of Information and Other Associated Assets within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-011,ISO27001:2022,A.5.11,Return of Assets,AssetInventoryEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.11 - Return of Assets within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-012,ISO27001:2022,A.5.12,Classification of Information,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.12 - Classification of Information within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-013,ISO27001:2022,A.5.13,Labelling of Information,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.13 - Labelling of Information within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-014,ISO27001:2022,A.5.14,Information Transfer,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.14 - Information Transfer within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-015,ISO27001:2022,A.5.15,Access Control,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.15 - Access Control within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-016,ISO27001:2022,A.5.16,Identity Management,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.16 - Identity Management within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-017,ISO27001:2022,A.5.17,Authentication Information,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.17 - Authentication Information within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-018,ISO27001:2022,A.5.18,Access Rights,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.18 - Access Rights within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
