framework,id,title,gqm_ref,linked_ids,uml_class,metric_ids,evidence_kind,proposed_uml_anchor,recommended_metric_ids,metric_repair_action,olir_exact_set,R1_Count,OLIR218_Count,Overlap_Count,semantic_review_status,evidence_question,independent_review_sampled,final_review_decision,final_metric_fit,final_uml_fit,final_crosswalk_fit,final_review_action,post_review_implementation_status,post_review_note
ISO27001:2022,A.5.1,Policies for Information Security,GQM-ISO-001,GV.OV-03;GV.PO-01;GV.PO-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PolicyProcedureEvidence,EvidenceRequirement,,remove_current_metrics,no,3,1,1,INDEPENDENT_FRESH60_MINOR_REVISION,"What traceable evidence demonstrates that the outcome/control 'A.5.1 - Policies for Information Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,minor_revision,yes,yes,partial,revise_crosswalk,HUMAN_DIRECTED_REPAIR_IMPLEMENTED,Pruned 15-link policy expansion to primary GV.PO-01/GV.PO-02 while retaining GV.OV-03 as a reviewer-validated secondary oversight relation.
ISO27001:2022,A.5.2,Information Security Roles and Responsibilities,GQM-ISO-002,GV.SC-02;PR.AT-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,GovernanceDecisionEvidence,EvidenceRequirement,,remove_current_metrics,no,2,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.2 - Information Security Roles and Responsibilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.3,Segregation of Duties,GQM-ISO-003,GV.OC-05;PR.AA-05;PR.DS-01;PR.DS-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IdentityAccessEvidence,EvidenceRequirement,,remove_current_metrics,no,4,1,0,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.3 - Segregation of Duties' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.4,Management Responsibilities,GQM-ISO-004,GV.RR-01;GV.SC-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,GovernanceDecisionEvidence,EvidenceRequirement,,remove_current_metrics,no,2,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.4 - Management Responsibilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.5,Contact With Authorities,GQM-ISO-005,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,GovernanceDecisionEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.5 - Contact With Authorities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.6,Contact With Special Interest Groups,GQM-ISO-006,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,GovernanceDecisionEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.6 - Contact With Special Interest Groups' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.7,Threat Intelligence,GQM-ISO-007,DE.AE-07;ID.RA-02;ID.RA-03;ID.RA-05;ID.RA-06,HumanFactorMetric,HF_AWARENESS;TCO_3Y,RiskAssessmentEvidence,EvidenceRequirement,EP_EXPLOIT,replace,no,5,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.7 - Threat Intelligence' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.8,Information Security in Project Management,GQM-ISO-008,ID.AM-08,HumanFactorMetric,HF_AWARENESS;TCO_3Y,GovernanceDecisionEvidence,EvidenceRequirement,,remove_current_metrics,no,1,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.8 - Information Security in Project Management' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.9,Inventory of Information and Other Associated Assets,GQM-ISO-009,ID.AM-01;ID.AM-02;ID.AM-05;ID.AM-07;ID.AM-08;PR.PS-02;PR.PS-03,HumanFactorMetric,HF_AWARENESS;TCO_3Y,AssetInventoryEvidence,EvidenceRequirement,,remove_current_metrics,no,7,1,1,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.9 - Inventory of Information and Other Associated Assets' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.10,Acceptable Use of Information and Other Associated Assets,GQM-ISO-010,PR.DS-01;PR.DS-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PolicyProcedureEvidence,EvidenceRequirement,,remove_current_metrics,no,2,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.10 - Acceptable Use of Information and Other Associated Assets' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.11,Return of Assets,GQM-ISO-011,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,AssetInventoryEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.11 - Return of Assets' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.12,Classification of Information,GQM-ISO-012,ID.AM-05;ID.AM-08,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PrivacyDataProtectionEvidence,EvidenceRequirement,,remove_current_metrics,no,2,1,0,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.12 - Classification of Information' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.13,Labelling of Information,GQM-ISO-013,ID.AM-05;ID.AM-08;PR.DS-01;PR.DS-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PrivacyDataProtectionEvidence,EvidenceRequirement,,remove_current_metrics,no,4,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.13 - Labelling of Information' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.14,Information Transfer,GQM-ISO-014,ID.AM-03;PR.AA-05;PR.DS-01;PR.DS-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PrivacyDataProtectionEvidence,EvidenceRequirement,,remove_current_metrics,no,4,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.14 - Information Transfer' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.15,Access Control,GQM-ISO-015,PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IdentityAccessEvidence,EvidenceRequirement,,remove_current_metrics,no,5,1,1,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.15 - Access Control' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.16,Identity Management,GQM-ISO-016,PR.AA-03;PR.AA-04;PR.AA-05,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IdentityAccessEvidence,EvidenceRequirement,,remove_current_metrics,no,3,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.16 - Identity Management' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.17,Authentication Information,GQM-ISO-017,PR.AA-03;PR.AA-05,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IdentityAccessEvidence,EvidenceRequirement,,remove_current_metrics,no,2,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.17 - Authentication Information' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.18,Access Rights,GQM-ISO-018,PR.AA-01;PR.AA-03;PR.AA-05,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IdentityAccessEvidence,EvidenceRequirement,,remove_current_metrics,no,3,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.18 - Access Rights' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
