event_type,event_label,family_7class,family_key,binary_label,is_attack,taxonomy_source
backdoor_malware,Backdoor_Malware,Web,web,Attack,1,official_example_notebook
benigntraffic,BenignTraffic,Benign,benign,Benign,0,official_example_notebook
browserhijacking,BrowserHijacking,Web,web,Attack,1,official_example_notebook
commandinjection,CommandInjection,Web,web,Attack,1,official_example_notebook
ddos-ack_fragmentation,DDoS-ACK_Fragmentation,DDoS,ddos,Attack,1,official_example_notebook
ddos-http_flood,DDoS-HTTP_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-icmp_flood,DDoS-ICMP_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-icmp_fragmentation,DDoS-ICMP_Fragmentation,DDoS,ddos,Attack,1,official_example_notebook
ddos-pshack_flood,DDoS-PSHACK_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-rstfinflood,DDoS-RSTFINFlood,DDoS,ddos,Attack,1,official_example_notebook
ddos-syn_flood,DDoS-SYN_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-slowloris,DDoS-SlowLoris,DDoS,ddos,Attack,1,official_example_notebook
ddos-synonymousip_flood,DDoS-SynonymousIP_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-tcp_flood,DDoS-TCP_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-udp_flood,DDoS-UDP_Flood,DDoS,ddos,Attack,1,official_example_notebook
ddos-udp_fragmentation,DDoS-UDP_Fragmentation,DDoS,ddos,Attack,1,official_example_notebook
dns_spoofing,DNS_Spoofing,Spoofing,spoofing,Attack,1,official_example_notebook
dictionarybruteforce,DictionaryBruteForce,BruteForce,bruteforce,Attack,1,official_example_notebook
dos-http_flood,DoS-HTTP_Flood,DoS,dos,Attack,1,official_example_notebook
dos-syn_flood,DoS-SYN_Flood,DoS,dos,Attack,1,official_example_notebook
dos-tcp_flood,DoS-TCP_Flood,DoS,dos,Attack,1,official_example_notebook
dos-udp_flood,DoS-UDP_Flood,DoS,dos,Attack,1,official_example_notebook
mitm-arpspoofing,MITM-ArpSpoofing,Spoofing,spoofing,Attack,1,official_example_notebook
mirai-greeth_flood,Mirai-greeth_flood,Mirai,mirai,Attack,1,official_example_notebook
mirai-greip_flood,Mirai-greip_flood,Mirai,mirai,Attack,1,official_example_notebook
mirai-udpplain,Mirai-udpplain,Mirai,mirai,Attack,1,official_example_notebook
recon-hostdiscovery,Recon-HostDiscovery,Recon,recon,Attack,1,official_example_notebook
recon-osscan,Recon-OSScan,Recon,recon,Attack,1,official_example_notebook
recon-pingsweep,Recon-PingSweep,Recon,recon,Attack,1,official_example_notebook
recon-portscan,Recon-PortScan,Recon,recon,Attack,1,official_example_notebook
sqlinjection,SqlInjection,Web,web,Attack,1,official_example_notebook
uploading_attack,Uploading_Attack,Web,web,Attack,1,official_example_notebook
vulnerabilityscan,VulnerabilityScan,Recon,recon,Attack,1,official_example_notebook
xss,XSS,Web,web,Attack,1,official_example_notebook
