event_type,event_label,family_7class,victim_device,victim_source
dos-http_flood,DoS-HTTP_Flood,DoS,Amazon Echo Show,official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,AMCREST WiFi Camera,official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,harman kardon (Ampak Technology),official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,Netatmo Camera,official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,Philips Hue Bridge,official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
dos-http_flood,DoS-HTTP_Flood,DoS,TP-Link Tapo Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,AeoTec Smart Home Hub,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Amazon Alexa Echo Dot 1,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Amazon Alexa Echo Dot 2,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Amazon Echo Show,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Amazon Alexa Echo Spot,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,AMCREST WiFi Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Borun/Sichuan-AI Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Google Nest Mini Speaker Speaker,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Gosund Power strip (1),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,GoSund Power strip (2),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,GoSund Bulb,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,GoSund Smart Plug WP2 (2),official_victims_pdf
