event_type,event_label,family_7class,family_key,cve_id,cvss_exploitability,cvss_c,cvss_i,cvss_a,mapping_source,mapping_note
backdoor_malware,Backdoor_Malware,Web,web,CVE-2024-1104,0.77,0.71,0.69,0.4,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
benigntraffic,BenignTraffic,Benign,benign,CVE-0000-0000,0.05,0.05,0.05,0.05,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
browserhijacking,BrowserHijacking,Web,web,CVE-2024-1104,0.77,0.71,0.69,0.4,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
commandinjection,CommandInjection,Web,web,CVE-2024-1104,0.77,0.71,0.69,0.4,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-ack_fragmentation,DDoS-ACK_Fragmentation,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-http_flood,DDoS-HTTP_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-icmp_flood,DDoS-ICMP_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-icmp_fragmentation,DDoS-ICMP_Fragmentation,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-pshack_flood,DDoS-PSHACK_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-rstfinflood,DDoS-RSTFINFlood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-syn_flood,DDoS-SYN_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-slowloris,DDoS-SlowLoris,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-synonymousip_flood,DDoS-SynonymousIP_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-tcp_flood,DDoS-TCP_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-udp_flood,DDoS-UDP_Flood,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
ddos-udp_fragmentation,DDoS-UDP_Fragmentation,DDoS,ddos,CVE-2024-1101,0.82,0.32,0.18,0.92,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
dns_spoofing,DNS_Spoofing,Spoofing,spoofing,CVE-2024-1106,0.53,0.41,0.46,0.14,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
dictionarybruteforce,DictionaryBruteForce,BruteForce,bruteforce,CVE-2024-1105,0.58,0.34,0.37,0.12,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
dos-http_flood,DoS-HTTP_Flood,DoS,dos,CVE-2024-1102,0.74,0.28,0.2,0.86,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
dos-syn_flood,DoS-SYN_Flood,DoS,dos,CVE-2024-1102,0.74,0.28,0.2,0.86,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
dos-tcp_flood,DoS-TCP_Flood,DoS,dos,CVE-2024-1102,0.74,0.28,0.2,0.86,official_taxonomy_plus_family_surrogate,Explicit attack-to-family map comes from the official CICIoT example notebook; CVE values remain representative family-level surrogates until a device-level curated map is supplied.
